Job 0: processing BinFill
  h5_file:    data/robomme_data_h5/record_dataset_BinFill.h5
  output_dir: data/robomme_preprocessed_data/per_task/BinFill
  hostname:   crushinator.cc.gatech.edu
  started:    Fri Apr 17 05:07:09 PM EDT 2026
Processing file: record_dataset_BinFill.h5
Episode 0: timesteps=550, exec_start=0, kept_indices=590, task_goal='put two red cubes into the bin, then press the button to stop'
Episode 1: timesteps=366, exec_start=0, kept_indices=429, task_goal='put one red cube into the bin, then press the button to stop'
Episode 2: timesteps=883, exec_start=0, kept_indices=733, task_goal='put two red cubes and two green cubes into the bin, then press the button to stop'
Episode 3: timesteps=940, exec_start=0, kept_indices=1120, task_goal='put one blue cube and three green cubes into the bin, then press the button to stop'
Episode 4: timesteps=625, exec_start=0, kept_indices=478, task_goal='put two blue cubes into the bin, then press the button to stop'
Episode 5: timesteps=378, exec_start=0, kept_indices=344, task_goal='put one red cube into the bin, then press the button to stop'
Episode 6: timesteps=622, exec_start=0, kept_indices=782, task_goal='put three blue cubes into the bin, then press the button to stop'
Episode 7: timesteps=785, exec_start=0, kept_indices=785, task_goal='put two red cubes and two blue cubes into the bin, then press the button to stop'
Episode 8: timesteps=462, exec_start=0, kept_indices=587, task_goal='put two blue cubes into the bin, then press the button to stop'
Episode 9: timesteps=629, exec_start=0, kept_indices=611, task_goal='put three blue cubes into the bin, then press the button to stop'
Episode 10: timesteps=635, exec_start=0, kept_indices=523, task_goal='put three green cubes into the bin, then press the button to stop'
Episode 11: timesteps=584, exec_start=0, kept_indices=692, task_goal='put two red cubes and one green cube into the bin, then press the button to stop'
Episode 12: timesteps=273, exec_start=0, kept_indices=347, task_goal='put one red cube into the bin, then press the button to stop'
Episode 13: timesteps=402, exec_start=0, kept_indices=524, task_goal='put two blue cubes into the bin, then press the button to stop'
Episode 14: timesteps=645, exec_start=0, kept_indices=774, task_goal='put three red cubes into the bin, then press the button to stop'
Episode 15: timesteps=994, exec_start=0, kept_indices=1013, task_goal='put three red cubes and one blue cube into the bin, then press the button to stop'
Episode 16: timesteps=424, exec_start=0, kept_indices=476, task_goal='put two green cubes into the bin, then press the button to stop'
Episode 17: timesteps=276, exec_start=0, kept_indices=350, task_goal='put one blue cube into the bin, then press the button to stop'
Episode 18: timesteps=782, exec_start=0, kept_indices=808, task_goal='put four green cubes into the bin, then press the button to stop'
Episode 19: timesteps=775, exec_start=0, kept_indices=842, task_goal='put one red cube, two blue cubes and one green cube into the bin, then press the button to stop'
Episode 20: timesteps=711, exec_start=0, kept_indices=703, task_goal='put three red cubes into the bin, then press the button to stop'
Episode 21: timesteps=639, exec_start=0, kept_indices=655, task_goal='put three red cubes into the bin, then press the button to stop'
Episode 22: timesteps=811, exec_start=0, kept_indices=904, task_goal='put three blue cubes and one green cube into the bin, then press the button to stop'
Episode 23: timesteps=856, exec_start=0, kept_indices=1223, task_goal='put two blue cubes and two green cubes into the bin, then press the button to stop'
Episode 24: timesteps=272, exec_start=0, kept_indices=368, task_goal='put one blue cube into the bin, then press the button to stop'
Episode 25: timesteps=625, exec_start=0, kept_indices=568, task_goal='put three green cubes into the bin, then press the button to stop'
Episode 26: timesteps=664, exec_start=0, kept_indices=785, task_goal='put three green cubes into the bin, then press the button to stop'
Episode 27: timesteps=964, exec_start=0, kept_indices=1036, task_goal='put three blue cubes and two green cubes into the bin, then press the button to stop'
Episode 28: timesteps=657, exec_start=0, kept_indices=845, task_goal='put three green cubes into the bin, then press the button to stop'
Episode 29: timesteps=617, exec_start=0, kept_indices=697, task_goal='put three red cubes into the bin, then press the button to stop'
Episode 30: timesteps=467, exec_start=0, kept_indices=543, task_goal='put two green cubes into the bin, then press the button to stop'
Episode 31: timesteps=842, exec_start=0, kept_indices=992, task_goal='put three red cubes and one green cube into the bin, then press the button to stop'
Episode 32: timesteps=606, exec_start=0, kept_indices=676, task_goal='put three red cubes into the bin, then press the button to stop'
Episode 33: timesteps=292, exec_start=0, kept_indices=309, task_goal='put one red cube into the bin, then press the button to stop'
Episode 34: timesteps=828, exec_start=0, kept_indices=990, task_goal='put two red cubes and two blue cubes into the bin, then press the button to stop'
Episode 35: timesteps=650, exec_start=0, kept_indices=795, task_goal='put one red cube and two blue cubes into the bin, then press the button to stop'
Episode 36: timesteps=286, exec_start=0, kept_indices=353, task_goal='put one red cube into the bin, then press the button to stop'
Episode 37: timesteps=270, exec_start=0, kept_indices=323, task_goal='put one red cube into the bin, then press the button to stop'
Episode 38: timesteps=427, exec_start=0, kept_indices=503, task_goal='put one red cube and one green cube into the bin, then press the button to stop'
Episode 39: timesteps=597, exec_start=0, kept_indices=726, task_goal='put two red cubes and one blue cube into the bin, then press the button to stop'
Episode 40: timesteps=447, exec_start=0, kept_indices=578, task_goal='put two red cubes into the bin, then press the button to stop'
Episode 41: timesteps=457, exec_start=0, kept_indices=589, task_goal='put two red cubes into the bin, then press the button to stop'
Episode 42: timesteps=672, exec_start=0, kept_indices=862, task_goal='put three blue cubes into the bin, then press the button to stop'
Episode 43: timesteps=956, exec_start=0, kept_indices=1046, task_goal='put two blue cubes and three green cubes into the bin, then press the button to stop'
