Job 11: processing VideoPlaceButton
  h5_file:    data/robomme_data_h5/record_dataset_VideoPlaceButton.h5
  output_dir: data/robomme_preprocessed_data/per_task/VideoPlaceButton
  hostname:   dave.cc.gatech.edu
  started:    Fri Apr 17 05:07:09 PM EDT 2026
Processing file: record_dataset_VideoPlaceButton.h5
Episode 0: timesteps=1048, exec_start=765, kept_indices=1442, task_goal='watch the video carefully, then place the red cube on the target right after the button was pressed'
Episode 1: timesteps=1002, exec_start=757, kept_indices=1289, task_goal='watch the video carefully, then place the blue cube on the target right after the button was pressed'
Episode 2: timesteps=1001, exec_start=743, kept_indices=1211, task_goal='watch the video carefully, then place the blue cube on the target right after the button was pressed'
Episode 3: timesteps=1041, exec_start=759, kept_indices=1400, task_goal='watch the video carefully, then place the green cube on the target right before the button was pressed'
Episode 4: timesteps=1089, exec_start=803, kept_indices=1425, task_goal='watch the video carefully, then place the green cube on the target right after the button was pressed'
Episode 5: timesteps=1056, exec_start=772, kept_indices=1332, task_goal='watch the video carefully, then place the red cube on the target right after the button was pressed'
Episode 6: timesteps=921, exec_start=728, kept_indices=1151, task_goal='watch the video carefully, then place the blue cube on the target right after the button was pressed'
Episode 7: timesteps=958, exec_start=750, kept_indices=1273, task_goal='watch the video carefully, then place the red cube on the target right before the button was pressed'
Episode 8: timesteps=1013, exec_start=805, kept_indices=1193, task_goal='watch the video carefully, then place the red cube on the target right before the button was pressed'
Episode 9: timesteps=954, exec_start=751, kept_indices=1062, task_goal='watch the video carefully, then place the blue cube on the target right before the button was pressed'
Episode 10: timesteps=980, exec_start=787, kept_indices=1236, task_goal='watch the video carefully, then place the red cube on the target right after the button was pressed'
Episode 11: timesteps=946, exec_start=734, kept_indices=1428, task_goal='watch the video carefully, then place the green cube on the target right before the button was pressed'
Episode 12: timesteps=916, exec_start=722, kept_indices=1296, task_goal='watch the video carefully, then place the blue cube on the target right after the button was pressed'
Episode 13: timesteps=1017, exec_start=799, kept_indices=1507, task_goal='watch the video carefully, then place the green cube on the target right after the button was pressed'
Episode 14: timesteps=951, exec_start=747, kept_indices=1309, task_goal='watch the video carefully, then place the red cube on the target right after the button was pressed'
Episode 15: timesteps=969, exec_start=776, kept_indices=1086, task_goal='watch the video carefully, then place the blue cube on the target right after the button was pressed'
