Job 12: processing VideoPlaceOrder
  h5_file:    data/robomme_data_h5/record_dataset_VideoPlaceOrder.h5
  output_dir: data/robomme_preprocessed_data/per_task/VideoPlaceOrder
  hostname:   dave.cc.gatech.edu
  started:    Fri Apr 17 05:07:09 PM EDT 2026
Processing file: record_dataset_VideoPlaceOrder.h5
Episode 0: timesteps=1200, exec_start=940, kept_indices=1708, task_goal='watch the video carefully, then place the blue cube on the first target it was previously placed on'
Episode 1: timesteps=1367, exec_start=1105, kept_indices=1813, task_goal='watch the video carefully, then place the green cube on the fourth target it was previously placed on'
Episode 2: timesteps=1222, exec_start=957, kept_indices=1454, task_goal='watch the video carefully, then place the red cube on the second target it was previously placed on'
Episode 3: timesteps=1408, exec_start=1124, kept_indices=2048, task_goal='watch the video carefully, then place the green cube on the third target it was previously placed on'
Episode 4: timesteps=1411, exec_start=1118, kept_indices=1838, task_goal='watch the video carefully, then place the blue cube on the third target it was previously placed on'
Episode 5: timesteps=1058, exec_start=762, kept_indices=1254, task_goal='watch the video carefully, then place the green cube on the second target it was previously placed on'
Episode 6: timesteps=917, exec_start=715, kept_indices=1315, task_goal='watch the video carefully, then place the blue cube on the second target it was previously placed on'
Episode 7: timesteps=1131, exec_start=930, kept_indices=1518, task_goal='watch the video carefully, then place the red cube on the second target it was previously placed on'
Episode 8: timesteps=1140, exec_start=942, kept_indices=1566, task_goal='watch the video carefully, then place the green cube on the second target it was previously placed on'
Episode 9: timesteps=1165, exec_start=953, kept_indices=1495, task_goal='watch the video carefully, then place the green cube on the first target it was previously placed on'
Episode 10: timesteps=1342, exec_start=1140, kept_indices=2048, task_goal='watch the video carefully, then place the blue cube on the second target it was previously placed on'
Episode 11: timesteps=1311, exec_start=1114, kept_indices=1876, task_goal='watch the video carefully, then place the green cube on the third target it was previously placed on'
Episode 12: timesteps=1116, exec_start=903, kept_indices=1677, task_goal='watch the video carefully, then place the blue cube on the second target it was previously placed on'
Episode 13: timesteps=1164, exec_start=954, kept_indices=1755, task_goal='watch the video carefully, then place the red cube on the second target it was previously placed on'
Episode 14: timesteps=1271, exec_start=1069, kept_indices=1923, task_goal='watch the video carefully, then place the green cube on the third target it was previously placed on'
Episode 15: timesteps=1099, exec_start=890, kept_indices=1681, task_goal='watch the video carefully, then place the green cube on the first target it was previously placed on'
Episode 16: timesteps=910, exec_start=702, kept_indices=1289, task_goal='watch the video carefully, then place the green cube on the first target it was previously placed on'
Episode 17: timesteps=1160, exec_start=964, kept_indices=1635, task_goal='watch the video carefully, then place the green cube on the second target it was previously placed on'
Episode 18: timesteps=923, exec_start=726, kept_indices=1136, task_goal='watch the video carefully, then place the red cube on the first target it was previously placed on'
Episode 19: timesteps=1111, exec_start=913, kept_indices=1460, task_goal='watch the video carefully, then place the green cube on the first target it was previously placed on'
Episode 20: timesteps=973, exec_start=776, kept_indices=1064, task_goal='watch the video carefully, then place the green cube on the second target it was previously placed on'
Episode 21: timesteps=1322, exec_start=1105, kept_indices=2045, task_goal='watch the video carefully, then place the red cube on the third target it was previously placed on'
Episode 22: timesteps=1296, exec_start=1099, kept_indices=1698, task_goal='watch the video carefully, then place the red cube on the third target it was previously placed on'
Episode 23: timesteps=921, exec_start=729, kept_indices=1478, task_goal='watch the video carefully, then place the green cube on the first target it was previously placed on'
Episode 24: timesteps=1014, exec_start=809, kept_indices=1371, task_goal='watch the video carefully, then place the green cube on the second target it was previously placed on'
Episode 25: timesteps=984, exec_start=789, kept_indices=1515, task_goal='watch the video carefully, then place the blue cube on the first target it was previously placed on'
Episode 26: timesteps=1314, exec_start=1108, kept_indices=2025, task_goal='watch the video carefully, then place the blue cube on the first target it was previously placed on'
Episode 27: timesteps=930, exec_start=730, kept_indices=1354, task_goal='watch the video carefully, then place the blue cube on the first target it was previously placed on'
Episode 28: timesteps=1106, exec_start=913, kept_indices=1662, task_goal='watch the video carefully, then place the blue cube on the second target it was previously placed on'
Episode 29: timesteps=1301, exec_start=1104, kept_indices=1982, task_goal='watch the video carefully, then place the red cube on the first target it was previously placed on'
Episode 30: timesteps=1320, exec_start=1120, kept_indices=1702, task_goal='watch the video carefully, then place the blue cube on the third target it was previously placed on'
Episode 31: timesteps=1154, exec_start=951, kept_indices=1730, task_goal='watch the video carefully, then place the green cube on the second target it was previously placed on'
Episode 32: timesteps=1305, exec_start=1111, kept_indices=1846, task_goal='watch the video carefully, then place the red cube on the first target it was previously placed on'
Episode 33: timesteps=1296, exec_start=1092, kept_indices=1743, task_goal='watch the video carefully, then place the blue cube on the fourth target it was previously placed on'
Episode 34: timesteps=1283, exec_start=1064, kept_indices=1989, task_goal='watch the video carefully, then place the green cube on the fourth target it was previously placed on'
Episode 35: timesteps=1230, exec_start=1028, kept_indices=1756, task_goal='watch the video carefully, then place the red cube on the third target it was previously placed on'
Episode 36: timesteps=988, exec_start=781, kept_indices=1602, task_goal='watch the video carefully, then place the green cube on the second target it was previously placed on'
Episode 37: timesteps=949, exec_start=754, kept_indices=1161, task_goal='watch the video carefully, then place the green cube on the first target it was previously placed on'
Episode 38: timesteps=1003, exec_start=803, kept_indices=1286, task_goal='watch the video carefully, then place the red cube on the first target it was previously placed on'
Episode 39: timesteps=968, exec_start=757, kept_indices=1487, task_goal='watch the video carefully, then place the red cube on the second target it was previously placed on'
Episode 40: timesteps=909, exec_start=707, kept_indices=1389, task_goal='watch the video carefully, then place the red cube on the second target it was previously placed on'
Episode 41: timesteps=1105, exec_start=894, kept_indices=1657, task_goal='watch the video carefully, then place the red cube on the third target it was previously placed on'
Episode 42: timesteps=945, exec_start=748, kept_indices=1071, task_goal='watch the video carefully, then place the blue cube on the second target it was previously placed on'
Episode 43: timesteps=1277, exec_start=1084, kept_indices=1925, task_goal='watch the video carefully, then place the green cube on the third target it was previously placed on'
Episode 44: timesteps=965, exec_start=769, kept_indices=1136, task_goal='watch the video carefully, then place the blue cube on the second target it was previously placed on'
Episode 45: timesteps=1021, exec_start=822, kept_indices=1371, task_goal='watch the video carefully, then place the red cube on the first target it was previously placed on'
Episode 46: timesteps=984, exec_start=783, kept_indices=1343, task_goal='watch the video carefully, then place the blue cube on the first target it was previously placed on'
Episode 47: timesteps=1120, exec_start=917, kept_indices=1618, task_goal='watch the video carefully, then place the red cube on the third target it was previously placed on'
Episode 48: timesteps=1259, exec_start=1065, kept_indices=2007, task_goal='watch the video carefully, then place the blue cube on the fourth target it was previously placed on'
Episode 49: timesteps=1123, exec_start=928, kept_indices=1664, task_goal='watch the video carefully, then place the red cube on the second target it was previously placed on'
Episode 50: timesteps=991, exec_start=788, kept_indices=1351, task_goal='watch the video carefully, then place the green cube on the first target it was previously placed on'
Episode 51: timesteps=972, exec_start=775, kept_indices=1334, task_goal='watch the video carefully, then place the blue cube on the second target it was previously placed on'
Episode 52: timesteps=1098, exec_start=900, kept_indices=1480, task_goal='watch the video carefully, then place the blue cube on the third target it was previously placed on'
Episode 53: timesteps=1089, exec_start=893, kept_indices=1417, task_goal='watch the video carefully, then place the blue cube on the third target it was previously placed on'
Episode 54: timesteps=1015, exec_start=799, kept_indices=1452, task_goal='watch the video carefully, then place the red cube on the second target it was previously placed on'
Episode 55: timesteps=1258, exec_start=1059, kept_indices=1681, task_goal='watch the video carefully, then place the red cube on the fourth target it was previously placed on'
Episode 56: timesteps=1263, exec_start=1061, kept_indices=1640, task_goal='watch the video carefully, then place the green cube on the third target it was previously placed on'
Episode 57: timesteps=1082, exec_start=887, kept_indices=1477, task_goal='watch the video carefully, then place the blue cube on the first target it was previously placed on'
Episode 58: timesteps=939, exec_start=726, kept_indices=1563, task_goal='watch the video carefully, then place the green cube on the second target it was previously placed on'
Episode 59: timesteps=997, exec_start=791, kept_indices=1263, task_goal='watch the video carefully, then place the blue cube on the first target it was previously placed on'
Episode 60: timesteps=1125, exec_start=911, kept_indices=1622, task_goal='watch the video carefully, then place the blue cube on the first target it was previously placed on'
Episode 61: timesteps=997, exec_start=792, kept_indices=1593, task_goal='watch the video carefully, then place the green cube on the second target it was previously placed on'
Episode 62: timesteps=958, exec_start=756, kept_indices=1137, task_goal='watch the video carefully, then place the blue cube on the second target it was previously placed on'
Episode 63: timesteps=1335, exec_start=1135, kept_indices=2048, task_goal='watch the video carefully, then place the blue cube on the second target it was previously placed on'
Episode 64: timesteps=1141, exec_start=943, kept_indices=1694, task_goal='watch the video carefully, then place the green cube on the first target it was previously placed on'
Episode 65: timesteps=912, exec_start=713, kept_indices=1147, task_goal='watch the video carefully, then place the green cube on the second target it was previously placed on'
Episode 66: timesteps=1146, exec_start=942, kept_indices=1692, task_goal='watch the video carefully, then place the red cube on the first target it was previously placed on'
Episode 67: timesteps=1115, exec_start=923, kept_indices=1698, task_goal='watch the video carefully, then place the blue cube on the third target it was previously placed on'
Episode 68: timesteps=1286, exec_start=1094, kept_indices=1774, task_goal='watch the video carefully, then place the blue cube on the second target it was previously placed on'
Episode 69: timesteps=1270, exec_start=1058, kept_indices=1839, task_goal='watch the video carefully, then place the red cube on the first target it was previously placed on'
Episode 70: timesteps=1289, exec_start=1077, kept_indices=1877, task_goal='watch the video carefully, then place the red cube on the first target it was previously placed on'
Episode 71: timesteps=925, exec_start=724, kept_indices=1376, task_goal='watch the video carefully, then place the blue cube on the second target it was previously placed on'
Episode 72: timesteps=1295, exec_start=1102, kept_indices=1911, task_goal='watch the video carefully, then place the red cube on the fourth target it was previously placed on'
Episode 73: timesteps=1135, exec_start=936, kept_indices=1627, task_goal='watch the video carefully, then place the green cube on the second target it was previously placed on'
Episode 74: timesteps=1107, exec_start=912, kept_indices=1631, task_goal='watch the video carefully, then place the red cube on the third target it was previously placed on'
Episode 75: timesteps=934, exec_start=735, kept_indices=1276, task_goal='watch the video carefully, then place the red cube on the second target it was previously placed on'
Episode 76: timesteps=1138, exec_start=925, kept_indices=1779, task_goal='watch the video carefully, then place the green cube on the first target it was previously placed on'
Episode 77: timesteps=1129, exec_start=921, kept_indices=1324, task_goal='watch the video carefully, then place the blue cube on the first target it was previously placed on'
Episode 78: timesteps=1269, exec_start=1065, kept_indices=1758, task_goal='watch the video carefully, then place the blue cube on the fourth target it was previously placed on'
Episode 79: timesteps=953, exec_start=752, kept_indices=1280, task_goal='watch the video carefully, then place the green cube on the first target it was previously placed on'
Episode 80: timesteps=969, exec_start=766, kept_indices=1345, task_goal='watch the video carefully, then place the green cube on the first target it was previously placed on'
Episode 81: timesteps=1259, exec_start=1066, kept_indices=1913, task_goal='watch the video carefully, then place the red cube on the second target it was previously placed on'
Episode 82: timesteps=1304, exec_start=1101, kept_indices=2048, task_goal='watch the video carefully, then place the green cube on the second target it was previously placed on'
Episode 83: timesteps=929, exec_start=735, kept_indices=1222, task_goal='watch the video carefully, then place the red cube on the first target it was previously placed on'
Episode 84: timesteps=1166, exec_start=954, kept_indices=1710, task_goal='watch the video carefully, then place the red cube on the first target it was previously placed on'
Episode 85: timesteps=925, exec_start=723, kept_indices=1240, task_goal='watch the video carefully, then place the blue cube on the first target it was previously placed on'
Episode 86: timesteps=1175, exec_start=967, kept_indices=1572, task_goal='watch the video carefully, then place the green cube on the first target it was previously placed on'
Episode 87: timesteps=1307, exec_start=1113, kept_indices=1927, task_goal='watch the video carefully, then place the blue cube on the first target it was previously placed on'
Episode 88: timesteps=1132, exec_start=935, kept_indices=1553, task_goal='watch the video carefully, then place the red cube on the first target it was previously placed on'
Episode 89: timesteps=1176, exec_start=962, kept_indices=1832, task_goal='watch the video carefully, then place the green cube on the first target it was previously placed on'
Episode 90: timesteps=1343, exec_start=1145, kept_indices=2034, task_goal='watch the video carefully, then place the blue cube on the first target it was previously placed on'
Episode 91: timesteps=957, exec_start=757, kept_indices=1295, task_goal='watch the video carefully, then place the blue cube on the second target it was previously placed on'
Episode 92: timesteps=986, exec_start=772, kept_indices=1358, task_goal='watch the video carefully, then place the red cube on the second target it was previously placed on'
Episode 93: timesteps=975, exec_start=774, kept_indices=1151, task_goal='watch the video carefully, then place the red cube on the first target it was previously placed on'
Episode 94: timesteps=939, exec_start=748, kept_indices=1464, task_goal='watch the video carefully, then place the blue cube on the first target it was previously placed on'
Episode 95: timesteps=1143, exec_start=934, kept_indices=1632, task_goal='watch the video carefully, then place the red cube on the first target it was previously placed on'
Episode 96: timesteps=1136, exec_start=938, kept_indices=1638, task_goal='watch the video carefully, then place the red cube on the third target it was previously placed on'
Episode 97: timesteps=1305, exec_start=1087, kept_indices=1944, task_goal='watch the video carefully, then place the green cube on the third target it was previously placed on'
Episode 98: timesteps=1001, exec_start=780, kept_indices=1572, task_goal='watch the video carefully, then place the blue cube on the second target it was previously placed on'
Episode 99: timesteps=1311, exec_start=1100, kept_indices=1959, task_goal='watch the video carefully, then place the blue cube on the fourth target it was previously placed on'
Done in 48.04 minutes
