Job 4: processing MoveCube
  h5_file:    data/robomme_data_h5/record_dataset_MoveCube.h5
  output_dir: data/robomme_preprocessed_data/per_task/MoveCube
  hostname:   nestor.cc.gatech.edu
  started:    Fri Apr 17 05:07:09 PM EDT 2026
Processing file: record_dataset_MoveCube.h5
Episode 0: timesteps=425, exec_start=234, kept_indices=505, task_goal='watch the video carefully, then move the cube to the target in the same manner as before'
Episode 1: timesteps=441, exec_start=258, kept_indices=483, task_goal='watch the video carefully, then move the cube to the target in the same manner as before'
Episode 2: timesteps=478, exec_start=243, kept_indices=621, task_goal='watch the video carefully, then move the cube to the target in the same manner as before'
Episode 3: timesteps=266, exec_start=161, kept_indices=248, task_goal='watch the video carefully, then move the cube to the target in the same manner as before'
Episode 4: timesteps=440, exec_start=236, kept_indices=595, task_goal='watch the video carefully, then move the cube to the target in the same manner as before'
Episode 5: timesteps=429, exec_start=246, kept_indices=660, task_goal='watch the video carefully, then move the cube to the target in the same manner as before'
Episode 6: timesteps=443, exec_start=240, kept_indices=652, task_goal='watch the video carefully, then move the cube to the target in the same manner as before'
Episode 7: timesteps=512, exec_start=267, kept_indices=634, task_goal='watch the video carefully, then move the cube to the target in the same manner as before'
Episode 8: timesteps=279, exec_start=160, kept_indices=395, task_goal='watch the video carefully, then move the cube to the target in the same manner as before'
Episode 9: timesteps=279, exec_start=173, kept_indices=335, task_goal='watch the video carefully, then move the cube to the target in the same manner as before'
Episode 10: timesteps=482, exec_start=272, kept_indices=623, task_goal='watch the video carefully, then move the cube to the target in the same manner as before'
Episode 11: timesteps=257, exec_start=162, kept_indices=271, task_goal='watch the video carefully, then move the cube to the target in the same manner as before'
Episode 12: timesteps=515, exec_start=239, kept_indices=717, task_goal='watch the video carefully, then move the cube to the target in the same manner as before'
Episode 13: timesteps=439, exec_start=244, kept_indices=464, task_goal='watch the video carefully, then move the cube to the target in the same manner as before'
Episode 14: timesteps=451, exec_start=264, kept_indices=511, task_goal='watch the video carefully, then move the cube to the target in the same manner as before'
Episode 15: timesteps=272, exec_start=163, kept_indices=375, task_goal='watch the video carefully, then move the cube to the target in the same manner as before'
Episode 16: timesteps=434, exec_start=257, kept_indices=560, task_goal='watch the video carefully, then move the cube to the target in the same manner as before'
Episode 17: timesteps=491, exec_start=255, kept_indices=649, task_goal='watch the video carefully, then move the cube to the target in the same manner as before'
Episode 18: timesteps=470, exec_start=262, kept_indices=543, task_goal='watch the video carefully, then move the cube to the target in the same manner as before'
Episode 19: timesteps=267, exec_start=166, kept_indices=356, task_goal='watch the video carefully, then move the cube to the target in the same manner as before'
Episode 20: timesteps=256, exec_start=159, kept_indices=264, task_goal='watch the video carefully, then move the cube to the target in the same manner as before'
Episode 21: timesteps=285, exec_start=172, kept_indices=338, task_goal='watch the video carefully, then move the cube to the target in the same manner as before'
Episode 22: timesteps=451, exec_start=250, kept_indices=536, task_goal='watch the video carefully, then move the cube to the target in the same manner as before'
Episode 23: timesteps=475, exec_start=253, kept_indices=489, task_goal='watch the video carefully, then move the cube to the target in the same manner as before'
Episode 24: timesteps=422, exec_start=245, kept_indices=537, task_goal='watch the video carefully, then move the cube to the target in the same manner as before'
Episode 25: timesteps=458, exec_start=265, kept_indices=562, task_goal='watch the video carefully, then move the cube to the target in the same manner as before'
Episode 26: timesteps=267, exec_start=157, kept_indices=388, task_goal='watch the video carefully, then move the cube to the target in the same manner as before'
Episode 27: timesteps=448, exec_start=262, kept_indices=607, task_goal='watch the video carefully, then move the cube to the target in the same manner as before'
Episode 28: timesteps=457, exec_start=255, kept_indices=457, task_goal='watch the video carefully, then move the cube to the target in the same manner as before'
Episode 29: timesteps=252, exec_start=154, kept_indices=353, task_goal='watch the video carefully, then move the cube to the target in the same manner as before'
Episode 30: timesteps=428, exec_start=230, kept_indices=562, task_goal='watch the video carefully, then move the cube to the target in the same manner as before'
Episode 31: timesteps=266, exec_start=168, kept_indices=378, task_goal='watch the video carefully, then move the cube to the target in the same manner as before'
Episode 32: timesteps=492, exec_start=268, kept_indices=582, task_goal='watch the video carefully, then move the cube to the target in the same manner as before'
Episode 33: timesteps=450, exec_start=267, kept_indices=610, task_goal='watch the video carefully, then move the cube to the target in the same manner as before'
Episode 34: timesteps=463, exec_start=258, kept_indices=651, task_goal='watch the video carefully, then move the cube to the target in the same manner as before'
Episode 35: timesteps=436, exec_start=245, kept_indices=519, task_goal='watch the video carefully, then move the cube to the target in the same manner as before'
Episode 36: timesteps=445, exec_start=242, kept_indices=506, task_goal='watch the video carefully, then move the cube to the target in the same manner as before'
Episode 37: timesteps=450, exec_start=255, kept_indices=559, task_goal='watch the video carefully, then move the cube to the target in the same manner as before'
Episode 38: timesteps=446, exec_start=228, kept_indices=426, task_goal='watch the video carefully, then move the cube to the target in the same manner as before'
Episode 39: timesteps=285, exec_start=172, kept_indices=273, task_goal='watch the video carefully, then move the cube to the target in the same manner as before'
Episode 40: timesteps=272, exec_start=162, kept_indices=385, task_goal='watch the video carefully, then move the cube to the target in the same manner as before'
Episode 41: timesteps=480, exec_start=225, kept_indices=596, task_goal='watch the video carefully, then move the cube to the target in the same manner as before'
Episode 42: timesteps=520, exec_start=299, kept_indices=636, task_goal='watch the video carefully, then move the cube to the target in the same manner as before'
Episode 43: timesteps=480, exec_start=255, kept_indices=637, task_goal='watch the video carefully, then move the cube to the target in the same manner as before'
Episode 44: timesteps=259, exec_start=169, kept_indices=272, task_goal='watch the video carefully, then move the cube to the target in the same manner as before'
Episode 45: timesteps=454, exec_start=258, kept_indices=477, task_goal='watch the video carefully, then move the cube to the target in the same manner as before'
Episode 46: timesteps=282, exec_start=171, kept_indices=284, task_goal='watch the video carefully, then move the cube to the target in the same manner as before'
Episode 47: timesteps=460, exec_start=261, kept_indices=585, task_goal='watch the video carefully, then move the cube to the target in the same manner as before'
Episode 48: timesteps=430, exec_start=226, kept_indices=474, task_goal='watch the video carefully, then move the cube to the target in the same manner as before'
Episode 49: timesteps=488, exec_start=238, kept_indices=616, task_goal='watch the video carefully, then move the cube to the target in the same manner as before'
Episode 50: timesteps=257, exec_start=152, kept_indices=389, task_goal='watch the video carefully, then move the cube to the target in the same manner as before'
Episode 51: timesteps=445, exec_start=269, kept_indices=588, task_goal='watch the video carefully, then move the cube to the target in the same manner as before'
Episode 52: timesteps=449, exec_start=257, kept_indices=563, task_goal='watch the video carefully, then move the cube to the target in the same manner as before'
Episode 53: timesteps=428, exec_start=244, kept_indices=515, task_goal='watch the video carefully, then move the cube to the target in the same manner as before'
Episode 54: timesteps=420, exec_start=217, kept_indices=453, task_goal='watch the video carefully, then move the cube to the target in the same manner as before'
Episode 55: timesteps=482, exec_start=280, kept_indices=478, task_goal='watch the video carefully, then move the cube to the target in the same manner as before'
Episode 56: timesteps=471, exec_start=243, kept_indices=546, task_goal='watch the video carefully, then move the cube to the target in the same manner as before'
Episode 57: timesteps=276, exec_start=164, kept_indices=254, task_goal='watch the video carefully, then move the cube to the target in the same manner as before'
Episode 58: timesteps=276, exec_start=169, kept_indices=346, task_goal='watch the video carefully, then move the cube to the target in the same manner as before'
Episode 59: timesteps=429, exec_start=239, kept_indices=475, task_goal='watch the video carefully, then move the cube to the target in the same manner as before'
Episode 60: timesteps=453, exec_start=222, kept_indices=540, task_goal='watch the video carefully, then move the cube to the target in the same manner as before'
Episode 61: timesteps=440, exec_start=256, kept_indices=534, task_goal='watch the video carefully, then move the cube to the target in the same manner as before'
Episode 62: timesteps=406, exec_start=222, kept_indices=477, task_goal='watch the video carefully, then move the cube to the target in the same manner as before'
Episode 63: timesteps=486, exec_start=228, kept_indices=621, task_goal='watch the video carefully, then move the cube to the target in the same manner as before'
Episode 64: timesteps=446, exec_start=246, kept_indices=570, task_goal='watch the video carefully, then move the cube to the target in the same manner as before'
Episode 65: timesteps=442, exec_start=243, kept_indices=516, task_goal='watch the video carefully, then move the cube to the target in the same manner as before'
Episode 66: timesteps=481, exec_start=271, kept_indices=587, task_goal='watch the video carefully, then move the cube to the target in the same manner as before'
Episode 67: timesteps=279, exec_start=168, kept_indices=269, task_goal='watch the video carefully, then move the cube to the target in the same manner as before'
Episode 68: timesteps=262, exec_start=160, kept_indices=228, task_goal='watch the video carefully, then move the cube to the target in the same manner as before'
Episode 69: timesteps=448, exec_start=253, kept_indices=537, task_goal='watch the video carefully, then move the cube to the target in the same manner as before'
Episode 70: timesteps=517, exec_start=277, kept_indices=693, task_goal='watch the video carefully, then move the cube to the target in the same manner as before'
Episode 71: timesteps=275, exec_start=163, kept_indices=409, task_goal='watch the video carefully, then move the cube to the target in the same manner as before'
Episode 72: timesteps=267, exec_start=165, kept_indices=361, task_goal='watch the video carefully, then move the cube to the target in the same manner as before'
Episode 73: timesteps=273, exec_start=167, kept_indices=277, task_goal='watch the video carefully, then move the cube to the target in the same manner as before'
Episode 74: timesteps=252, exec_start=165, kept_indices=248, task_goal='watch the video carefully, then move the cube to the target in the same manner as before'
Episode 75: timesteps=513, exec_start=236, kept_indices=659, task_goal='watch the video carefully, then move the cube to the target in the same manner as before'
Episode 76: timesteps=482, exec_start=261, kept_indices=590, task_goal='watch the video carefully, then move the cube to the target in the same manner as before'
Episode 77: timesteps=453, exec_start=244, kept_indices=541, task_goal='watch the video carefully, then move the cube to the target in the same manner as before'
Episode 78: timesteps=439, exec_start=254, kept_indices=545, task_goal='watch the video carefully, then move the cube to the target in the same manner as before'
Episode 79: timesteps=469, exec_start=235, kept_indices=577, task_goal='watch the video carefully, then move the cube to the target in the same manner as before'
Episode 80: timesteps=460, exec_start=264, kept_indices=655, task_goal='watch the video carefully, then move the cube to the target in the same manner as before'
Episode 81: timesteps=267, exec_start=164, kept_indices=301, task_goal='watch the video carefully, then move the cube to the target in the same manner as before'
Episode 82: timesteps=266, exec_start=158, kept_indices=285, task_goal='watch the video carefully, then move the cube to the target in the same manner as before'
Episode 83: timesteps=274, exec_start=161, kept_indices=271, task_goal='watch the video carefully, then move the cube to the target in the same manner as before'
Episode 84: timesteps=448, exec_start=225, kept_indices=638, task_goal='watch the video carefully, then move the cube to the target in the same manner as before'
Episode 85: timesteps=250, exec_start=148, kept_indices=315, task_goal='watch the video carefully, then move the cube to the target in the same manner as before'
Episode 86: timesteps=525, exec_start=248, kept_indices=660, task_goal='watch the video carefully, then move the cube to the target in the same manner as before'
Episode 87: timesteps=264, exec_start=162, kept_indices=276, task_goal='watch the video carefully, then move the cube to the target in the same manner as before'
Episode 88: timesteps=517, exec_start=273, kept_indices=698, task_goal='watch the video carefully, then move the cube to the target in the same manner as before'
Episode 89: timesteps=445, exec_start=252, kept_indices=548, task_goal='watch the video carefully, then move the cube to the target in the same manner as before'
Episode 90: timesteps=465, exec_start=238, kept_indices=551, task_goal='watch the video carefully, then move the cube to the target in the same manner as before'
Episode 91: timesteps=262, exec_start=166, kept_indices=314, task_goal='watch the video carefully, then move the cube to the target in the same manner as before'
Episode 92: timesteps=455, exec_start=259, kept_indices=685, task_goal='watch the video carefully, then move the cube to the target in the same manner as before'
Episode 93: timesteps=256, exec_start=156, kept_indices=250, task_goal='watch the video carefully, then move the cube to the target in the same manner as before'
Episode 94: timesteps=458, exec_start=245, kept_indices=457, task_goal='watch the video carefully, then move the cube to the target in the same manner as before'
Episode 95: timesteps=247, exec_start=162, kept_indices=298, task_goal='watch the video carefully, then move the cube to the target in the same manner as before'
Episode 96: timesteps=264, exec_start=172, kept_indices=341, task_goal='watch the video carefully, then move the cube to the target in the same manner as before'
Episode 97: timesteps=447, exec_start=267, kept_indices=602, task_goal='watch the video carefully, then move the cube to the target in the same manner as before'
Episode 98: timesteps=259, exec_start=158, kept_indices=231, task_goal='watch the video carefully, then move the cube to the target in the same manner as before'
Episode 99: timesteps=416, exec_start=238, kept_indices=573, task_goal='watch the video carefully, then move the cube to the target in the same manner as before'
Done in 18.87 minutes
