Job 5: processing PatternLock
  h5_file:    data/robomme_data_h5/record_dataset_PatternLock.h5
  output_dir: data/robomme_preprocessed_data/per_task/PatternLock
  hostname:   nestor.cc.gatech.edu
  started:    Fri Apr 17 05:07:09 PM EDT 2026
Processing file: record_dataset_PatternLock.h5
Episode 0: timesteps=96, exec_start=48, kept_indices=183, task_goal='Watch the video carefully, then use the stick attached to the robot to retrace the same pattern'
Episode 1: timesteps=126, exec_start=63, kept_indices=197, task_goal='Watch the video carefully, then use the stick attached to the robot to retrace the same pattern'
Episode 2: timesteps=260, exec_start=130, kept_indices=267, task_goal='Watch the video carefully, then use the stick attached to the robot to retrace the same pattern'
Episode 3: timesteps=306, exec_start=153, kept_indices=663, task_goal='Watch the video carefully, then use the stick attached to the robot to retrace the same pattern'
Episode 4: timesteps=66, exec_start=33, kept_indices=119, task_goal='Watch the video carefully, then use the stick attached to the robot to retrace the same pattern'
Episode 5: timesteps=112, exec_start=56, kept_indices=212, task_goal='Watch the video carefully, then use the stick attached to the robot to retrace the same pattern'
Episode 6: timesteps=164, exec_start=82, kept_indices=282, task_goal='Watch the video carefully, then use the stick attached to the robot to retrace the same pattern'
Episode 7: timesteps=358, exec_start=179, kept_indices=604, task_goal='Watch the video carefully, then use the stick attached to the robot to retrace the same pattern'
Episode 8: timesteps=148, exec_start=74, kept_indices=257, task_goal='Watch the video carefully, then use the stick attached to the robot to retrace the same pattern'
Episode 9: timesteps=48, exec_start=24, kept_indices=123, task_goal='Watch the video carefully, then use the stick attached to the robot to retrace the same pattern'
Episode 10: timesteps=216, exec_start=108, kept_indices=291, task_goal='Watch the video carefully, then use the stick attached to the robot to retrace the same pattern'
Episode 11: timesteps=274, exec_start=137, kept_indices=303, task_goal='Watch the video carefully, then use the stick attached to the robot to retrace the same pattern'
Episode 12: timesteps=192, exec_start=96, kept_indices=264, task_goal='Watch the video carefully, then use the stick attached to the robot to retrace the same pattern'
Episode 13: timesteps=140, exec_start=70, kept_indices=190, task_goal='Watch the video carefully, then use the stick attached to the robot to retrace the same pattern'
