Job 6: processing PickHighlight
  h5_file:    data/robomme_data_h5/record_dataset_PickHighlight.h5
  output_dir: data/robomme_preprocessed_data/per_task/PickHighlight
  hostname:   nestor.cc.gatech.edu
  started:    Fri Apr 17 05:07:09 PM EDT 2026
Processing file: record_dataset_PickHighlight.h5
Episode 0: timesteps=308, exec_start=0, kept_indices=253, task_goal='first press the button, then pick up all cubes that have been highlighteted with white areas on the table'
Episode 1: timesteps=276, exec_start=0, kept_indices=373, task_goal='first press the button, then pick up all cubes that have been highlighteted with white areas on the table'
Episode 2: timesteps=435, exec_start=0, kept_indices=443, task_goal='first press the button, then pick up all cubes that have been highlighteted with white areas on the table'
Episode 3: timesteps=652, exec_start=0, kept_indices=515, task_goal='first press the button, then pick up all cubes that have been highlighteted with white areas on the table'
Episode 4: timesteps=320, exec_start=0, kept_indices=292, task_goal='first press the button, then pick up all cubes that have been highlighteted with white areas on the table'
Episode 5: timesteps=282, exec_start=0, kept_indices=337, task_goal='first press the button, then pick up all cubes that have been highlighteted with white areas on the table'
Episode 6: timesteps=387, exec_start=0, kept_indices=410, task_goal='first press the button, then pick up all cubes that have been highlighteted with white areas on the table'
Episode 7: timesteps=530, exec_start=0, kept_indices=656, task_goal='first press the button, then pick up all cubes that have been highlighteted with white areas on the table'
Episode 8: timesteps=212, exec_start=0, kept_indices=255, task_goal='first press the button, then pick up all cubes that have been highlighteted with white areas on the table'
Episode 9: timesteps=225, exec_start=0, kept_indices=211, task_goal='first press the button, then pick up all cubes that have been highlighteted with white areas on the table'
Episode 10: timesteps=415, exec_start=0, kept_indices=325, task_goal='first press the button, then pick up all cubes that have been highlighteted with white areas on the table'
Episode 11: timesteps=583, exec_start=0, kept_indices=508, task_goal='first press the button, then pick up all cubes that have been highlighteted with white areas on the table'
Episode 12: timesteps=216, exec_start=0, kept_indices=216, task_goal='first press the button, then pick up all cubes that have been highlighteted with white areas on the table'
Episode 13: timesteps=219, exec_start=0, kept_indices=227, task_goal='first press the button, then pick up all cubes that have been highlighteted with white areas on the table'
Episode 14: timesteps=376, exec_start=0, kept_indices=410, task_goal='first press the button, then pick up all cubes that have been highlighteted with white areas on the table'
Episode 15: timesteps=542, exec_start=0, kept_indices=575, task_goal='first press the button, then pick up all cubes that have been highlighteted with white areas on the table'
Episode 16: timesteps=226, exec_start=0, kept_indices=228, task_goal='first press the button, then pick up all cubes that have been highlighteted with white areas on the table'
Episode 17: timesteps=222, exec_start=0, kept_indices=227, task_goal='first press the button, then pick up all cubes that have been highlighteted with white areas on the table'
Episode 18: timesteps=389, exec_start=0, kept_indices=389, task_goal='first press the button, then pick up all cubes that have been highlighteted with white areas on the table'
Episode 19: timesteps=569, exec_start=0, kept_indices=672, task_goal='first press the button, then pick up all cubes that have been highlighteted with white areas on the table'
Episode 20: timesteps=214, exec_start=0, kept_indices=212, task_goal='first press the button, then pick up all cubes that have been highlighteted with white areas on the table'
Episode 21: timesteps=225, exec_start=0, kept_indices=281, task_goal='first press the button, then pick up all cubes that have been highlighteted with white areas on the table'
