Job 8: processing RouteStick
  h5_file:    data/robomme_data_h5/record_dataset_RouteStick.h5
  output_dir: data/robomme_preprocessed_data/per_task/RouteStick
  hostname:   nestor.cc.gatech.edu
  started:    Fri Apr 17 05:07:09 PM EDT 2026
Processing file: record_dataset_RouteStick.h5
Episode 0: timesteps=200, exec_start=100, kept_indices=368, task_goal='Watch the video carefully, then use the stick attached to the robot to navigate around the sticks on the table, following the same path'
Episode 1: timesteps=200, exec_start=100, kept_indices=276, task_goal='Watch the video carefully, then use the stick attached to the robot to navigate around the sticks on the table, following the same path'
Episode 2: timesteps=500, exec_start=250, kept_indices=607, task_goal='Watch the video carefully, then use the stick attached to the robot to navigate around the sticks on the table, following the same path'
Episode 3: timesteps=500, exec_start=250, kept_indices=615, task_goal='Watch the video carefully, then use the stick attached to the robot to navigate around the sticks on the table, following the same path'
Episode 4: timesteps=300, exec_start=150, kept_indices=420, task_goal='Watch the video carefully, then use the stick attached to the robot to navigate around the sticks on the table, following the same path'
Episode 5: timesteps=300, exec_start=150, kept_indices=364, task_goal='Watch the video carefully, then use the stick attached to the robot to navigate around the sticks on the table, following the same path'
Episode 6: timesteps=400, exec_start=200, kept_indices=496, task_goal='Watch the video carefully, then use the stick attached to the robot to navigate around the sticks on the table, following the same path'
Episode 7: timesteps=500, exec_start=250, kept_indices=630, task_goal='Watch the video carefully, then use the stick attached to the robot to navigate around the sticks on the table, following the same path'
Episode 8: timesteps=300, exec_start=150, kept_indices=470, task_goal='Watch the video carefully, then use the stick attached to the robot to navigate around the sticks on the table, following the same path'
Episode 9: timesteps=200, exec_start=100, kept_indices=312, task_goal='Watch the video carefully, then use the stick attached to the robot to navigate around the sticks on the table, following the same path'
Episode 10: timesteps=400, exec_start=200, kept_indices=587, task_goal='Watch the video carefully, then use the stick attached to the robot to navigate around the sticks on the table, following the same path'
Episode 11: timesteps=400, exec_start=200, kept_indices=476, task_goal='Watch the video carefully, then use the stick attached to the robot to navigate around the sticks on the table, following the same path'
Episode 12: timesteps=200, exec_start=100, kept_indices=281, task_goal='Watch the video carefully, then use the stick attached to the robot to navigate around the sticks on the table, following the same path'
Episode 13: timesteps=200, exec_start=100, kept_indices=335, task_goal='Watch the video carefully, then use the stick attached to the robot to navigate around the sticks on the table, following the same path'
Episode 14: timesteps=500, exec_start=250, kept_indices=636, task_goal='Watch the video carefully, then use the stick attached to the robot to navigate around the sticks on the table, following the same path'
Episode 15: timesteps=700, exec_start=350, kept_indices=843, task_goal='Watch the video carefully, then use the stick attached to the robot to navigate around the sticks on the table, following the same path'
Episode 16: timesteps=300, exec_start=150, kept_indices=395, task_goal='Watch the video carefully, then use the stick attached to the robot to navigate around the sticks on the table, following the same path'
Episode 17: timesteps=200, exec_start=100, kept_indices=285, task_goal='Watch the video carefully, then use the stick attached to the robot to navigate around the sticks on the table, following the same path'
Episode 18: timesteps=400, exec_start=200, kept_indices=650, task_goal='Watch the video carefully, then use the stick attached to the robot to navigate around the sticks on the table, following the same path'
Episode 19: timesteps=400, exec_start=200, kept_indices=490, task_goal='Watch the video carefully, then use the stick attached to the robot to navigate around the sticks on the table, following the same path'
Episode 20: timesteps=200, exec_start=100, kept_indices=275, task_goal='Watch the video carefully, then use the stick attached to the robot to navigate around the sticks on the table, following the same path'
Episode 21: timesteps=200, exec_start=100, kept_indices=321, task_goal='Watch the video carefully, then use the stick attached to the robot to navigate around the sticks on the table, following the same path'
Episode 22: timesteps=400, exec_start=200, kept_indices=540, task_goal='Watch the video carefully, then use the stick attached to the robot to navigate around the sticks on the table, following the same path'
Episode 23: timesteps=700, exec_start=350, kept_indices=923, task_goal='Watch the video carefully, then use the stick attached to the robot to navigate around the sticks on the table, following the same path'
