Job 9: processing StopCube
  h5_file:    data/robomme_data_h5/record_dataset_StopCube.h5
  output_dir: data/robomme_preprocessed_data/per_task/StopCube
  hostname:   qt-1.cc.gatech.edu
  started:    Fri Apr 17 05:07:09 PM EDT 2026
Processing file: record_dataset_StopCube.h5
Episode 0: timesteps=459, exec_start=0, kept_indices=240, task_goal='press the button to stop the cube just as it reaches the target for the fourth time'
Episode 1: timesteps=186, exec_start=0, kept_indices=184, task_goal='press the button to stop the cube just as it reaches the target for the third time'
Episode 2: timesteps=243, exec_start=0, kept_indices=185, task_goal='press the button to stop the cube just as it reaches the target for the third time'
Episode 3: timesteps=453, exec_start=0, kept_indices=295, task_goal='press the button to stop the cube just as it reaches the target for the fourth time'
Episode 4: timesteps=211, exec_start=0, kept_indices=173, task_goal='press the button to stop the cube just as it reaches the target for the second time'
Episode 5: timesteps=131, exec_start=0, kept_indices=162, task_goal='press the button to stop the cube just as it reaches the target for the second time'
Episode 6: timesteps=247, exec_start=0, kept_indices=224, task_goal='press the button to stop the cube just as it reaches the target for the fourth time'
Episode 7: timesteps=406, exec_start=0, kept_indices=225, task_goal='press the button to stop the cube just as it reaches the target for the fifth time'
Episode 8: timesteps=574, exec_start=0, kept_indices=290, task_goal='press the button to stop the cube just as it reaches the target for the fifth time'
Episode 9: timesteps=212, exec_start=0, kept_indices=181, task_goal='press the button to stop the cube just as it reaches the target for the second time'
Episode 10: timesteps=234, exec_start=0, kept_indices=173, task_goal='press the button to stop the cube just as it reaches the target for the third time'
Episode 11: timesteps=331, exec_start=0, kept_indices=226, task_goal='press the button to stop the cube just as it reaches the target for the third time'
Episode 12: timesteps=320, exec_start=0, kept_indices=234, task_goal='press the button to stop the cube just as it reaches the target for the fourth time'
Episode 13: timesteps=579, exec_start=0, kept_indices=349, task_goal='press the button to stop the cube just as it reaches the target for the fifth time'
Episode 14: timesteps=215, exec_start=0, kept_indices=173, task_goal='press the button to stop the cube just as it reaches the target for the second time'
Episode 15: timesteps=227, exec_start=0, kept_indices=181, task_goal='press the button to stop the cube just as it reaches the target for the second time'
Episode 16: timesteps=233, exec_start=0, kept_indices=179, task_goal='press the button to stop the cube just as it reaches the target for the third time'
Episode 17: timesteps=393, exec_start=0, kept_indices=227, task_goal='press the button to stop the cube just as it reaches the target for the fifth time'
Episode 18: timesteps=582, exec_start=0, kept_indices=265, task_goal='press the button to stop the cube just as it reaches the target for the fifth time'
Episode 19: timesteps=398, exec_start=0, kept_indices=250, task_goal='press the button to stop the cube just as it reaches the target for the fifth time'
Episode 20: timesteps=241, exec_start=0, kept_indices=196, task_goal='press the button to stop the cube just as it reaches the target for the fourth time'
Episode 21: timesteps=398, exec_start=0, kept_indices=205, task_goal='press the button to stop the cube just as it reaches the target for the fifth time'
Episode 22: timesteps=214, exec_start=0, kept_indices=184, task_goal='press the button to stop the cube just as it reaches the target for the second time'
Episode 23: timesteps=311, exec_start=0, kept_indices=224, task_goal='press the button to stop the cube just as it reaches the target for the fifth time'
Episode 24: timesteps=393, exec_start=0, kept_indices=207, task_goal='press the button to stop the cube just as it reaches the target for the fifth time'
Episode 25: timesteps=339, exec_start=0, kept_indices=213, task_goal='press the button to stop the cube just as it reaches the target for the third time'
Episode 26: timesteps=121, exec_start=0, kept_indices=147, task_goal='press the button to stop the cube just as it reaches the target for the second time'
Episode 27: timesteps=242, exec_start=0, kept_indices=215, task_goal='press the button to stop the cube just as it reaches the target for the fourth time'
Episode 28: timesteps=581, exec_start=0, kept_indices=277, task_goal='press the button to stop the cube just as it reaches the target for the fifth time'
Episode 29: timesteps=311, exec_start=0, kept_indices=219, task_goal='press the button to stop the cube just as it reaches the target for the fifth time'
Episode 30: timesteps=332, exec_start=0, kept_indices=200, task_goal='press the button to stop the cube just as it reaches the target for the third time'
Episode 31: timesteps=309, exec_start=0, kept_indices=230, task_goal='press the button to stop the cube just as it reaches the target for the fourth time'
Episode 32: timesteps=315, exec_start=0, kept_indices=215, task_goal='press the button to stop the cube just as it reaches the target for the fifth time'
Episode 33: timesteps=314, exec_start=0, kept_indices=244, task_goal='press the button to stop the cube just as it reaches the target for the fourth time'
Episode 34: timesteps=401, exec_start=0, kept_indices=258, task_goal='press the button to stop the cube just as it reaches the target for the fifth time'
Episode 35: timesteps=191, exec_start=0, kept_indices=144, task_goal='press the button to stop the cube just as it reaches the target for the third time'
Episode 36: timesteps=323, exec_start=0, kept_indices=214, task_goal='press the button to stop the cube just as it reaches the target for the fourth time'
Episode 37: timesteps=301, exec_start=0, kept_indices=218, task_goal='press the button to stop the cube just as it reaches the target for the fifth time'
