]11;?[cmax_token_len: 64
max_token_len:  64
====== Using History, Representation Type: perceptual , Integration Type: modulation ======
Perceptual Memory using density_sampling type

max_token_len:  64
====== Using History, Representation Type: perceptual , Integration Type: modulation ======
Perceptual Memory using density_sampling type

Step 0: grad_norm=nan, llm_grad_norm=nan, loss=inf, mem_enc_norm=nan, param_norm=nan
Step 100: grad_norm=nan, llm_grad_norm=nan, loss=nan, mem_enc_norm=nan, param_norm=nan
Step 200: grad_norm=nan, llm_grad_norm=nan, loss=nan, mem_enc_norm=nan, param_norm=nan
Step 300: grad_norm=nan, llm_grad_norm=nan, loss=nan, mem_enc_norm=nan, param_norm=nan
Step 400: grad_norm=nan, llm_grad_norm=nan, loss=nan, mem_enc_norm=nan, param_norm=nan
Step 500: grad_norm=nan, llm_grad_norm=nan, loss=nan, mem_enc_norm=nan, param_norm=nan
Step 600: grad_norm=nan, llm_grad_norm=nan, loss=nan, mem_enc_norm=nan, param_norm=nan
Step 700: grad_norm=nan, llm_grad_norm=nan, loss=nan, mem_enc_norm=nan, param_norm=nan
Step 800: grad_norm=nan, llm_grad_norm=nan, loss=nan, mem_enc_norm=nan, param_norm=nan
Step 900: grad_norm=nan, llm_grad_norm=nan, loss=nan, mem_enc_norm=nan, param_norm=nan
Step 1000: grad_norm=nan, llm_grad_norm=nan, loss=nan, mem_enc_norm=nan, param_norm=nan
Step 1100: grad_norm=nan, llm_grad_norm=nan, loss=nan, mem_enc_norm=nan, param_norm=nan
Step 1200: grad_norm=nan, llm_grad_norm=nan, loss=nan, mem_enc_norm=nan, param_norm=nan
Step 1300: grad_norm=nan, llm_grad_norm=nan, loss=nan, mem_enc_norm=nan, param_norm=nan
Step 1400: grad_norm=nan, llm_grad_norm=nan, loss=nan, mem_enc_norm=nan, param_norm=nan
Step 1500: grad_norm=nan, llm_grad_norm=nan, loss=nan, mem_enc_norm=nan, param_norm=nan
Step 1600: grad_norm=nan, llm_grad_norm=nan, loss=nan, mem_enc_norm=nan, param_norm=nan
Step 1700: grad_norm=nan, llm_grad_norm=nan, loss=nan, mem_enc_norm=nan, param_norm=nan
Step 1800: grad_norm=nan, llm_grad_norm=nan, loss=nan, mem_enc_norm=nan, param_norm=nan
Step 1900: grad_norm=nan, llm_grad_norm=nan, loss=nan, mem_enc_norm=nan, param_norm=nan
Step 2000: grad_norm=nan, llm_grad_norm=nan, loss=nan, mem_enc_norm=nan, param_norm=nan
Step 2100: grad_norm=nan, llm_grad_norm=nan, loss=nan, mem_enc_norm=nan, param_norm=nan
Step 2200: grad_norm=nan, llm_grad_norm=nan, loss=nan, mem_enc_norm=nan, param_norm=nan
Step 2300: grad_norm=nan, llm_grad_norm=nan, loss=nan, mem_enc_norm=nan, param_norm=nan
Step 2400: grad_norm=nan, llm_grad_norm=nan, loss=nan, mem_enc_norm=nan, param_norm=nan
Step 2500: grad_norm=nan, llm_grad_norm=nan, loss=nan, mem_enc_norm=nan, param_norm=nan
Step 2600: grad_norm=nan, llm_grad_norm=nan, loss=nan, mem_enc_norm=nan, param_norm=nan
Step 2700: grad_norm=nan, llm_grad_norm=nan, loss=nan, mem_enc_norm=nan, param_norm=nan
