]11;?[cmax_token_len: 64
max_token_len:  64
====== Using History, Representation Type: perceptual , Integration Type: modulation ======
Perceptual Memory using density_sampling type

max_token_len:  64
====== Using History, Representation Type: perceptual , Integration Type: modulation ======
Perceptual Memory using density_sampling type

Step 0: grad_norm=1.3811, llm_grad_norm=1.3689, loss=0.0896, mem_enc_norm=0.1176, param_norm=1815.5465
Step 100: grad_norm=0.6424, llm_grad_norm=0.6354, loss=0.0645, mem_enc_norm=0.0539, param_norm=1815.5463
Step 200: grad_norm=0.1317, llm_grad_norm=0.1290, loss=0.0333, mem_enc_norm=0.0097, param_norm=1815.5463
Step 300: grad_norm=0.1428, llm_grad_norm=0.1410, loss=0.0253, mem_enc_norm=0.0090, param_norm=1815.5463
Step 400: grad_norm=0.1591, llm_grad_norm=0.1576, loss=0.0213, mem_enc_norm=0.0090, param_norm=1815.5465
Step 500: grad_norm=0.1649, llm_grad_norm=0.1634, loss=0.0194, mem_enc_norm=0.0095, param_norm=1815.5465
Step 600: grad_norm=0.1658, llm_grad_norm=0.1643, loss=0.0175, mem_enc_norm=0.0096, param_norm=1815.5471
Step 700: grad_norm=0.1639, llm_grad_norm=0.1623, loss=0.0161, mem_enc_norm=0.0100, param_norm=1815.5475
Step 800: grad_norm=0.1556, llm_grad_norm=0.1541, loss=0.0149, mem_enc_norm=0.0097, param_norm=1815.5481
Step 900: grad_norm=0.1506, llm_grad_norm=0.1490, loss=0.0143, mem_enc_norm=0.0100, param_norm=1815.5487
Step 1000: grad_norm=0.1481, llm_grad_norm=0.1464, loss=0.0135, mem_enc_norm=0.0099, param_norm=1815.5498
Step 1100: grad_norm=0.1392, llm_grad_norm=0.1376, loss=0.0126, mem_enc_norm=0.0095, param_norm=1815.5510
Step 1200: grad_norm=0.1406, llm_grad_norm=0.1390, loss=0.0121, mem_enc_norm=0.0104, param_norm=1815.5525
Step 1300: grad_norm=0.1332, llm_grad_norm=0.1314, loss=0.0116, mem_enc_norm=0.0102, param_norm=1815.5541
Step 1400: grad_norm=0.1249, llm_grad_norm=0.1231, loss=0.0114, mem_enc_norm=0.0098, param_norm=1815.5562
Step 1500: grad_norm=0.1200, llm_grad_norm=0.1182, loss=0.0109, mem_enc_norm=0.0096, param_norm=1815.5586
Step 1600: grad_norm=0.1212, llm_grad_norm=0.1192, loss=0.0107, mem_enc_norm=0.0106, param_norm=1815.5612
Step 1700: grad_norm=0.1124, llm_grad_norm=0.1104, loss=0.0103, mem_enc_norm=0.0107, param_norm=1815.5640
Step 1800: grad_norm=0.1018, llm_grad_norm=0.0997, loss=0.0100, mem_enc_norm=0.0107, param_norm=1815.5677
Step 1900: grad_norm=0.1044, llm_grad_norm=0.1020, loss=0.0098, mem_enc_norm=0.0126, param_norm=1815.5721
Step 2000: grad_norm=0.0986, llm_grad_norm=0.0956, loss=0.0094, mem_enc_norm=0.0153, param_norm=1815.5768
Step 2100: grad_norm=0.1004, llm_grad_norm=0.0975, loss=0.0092, mem_enc_norm=0.0144, param_norm=1815.5818
Step 2200: grad_norm=0.0864, llm_grad_norm=0.0831, loss=0.0088, mem_enc_norm=0.0153, param_norm=1815.5870
Step 2300: grad_norm=0.0849, llm_grad_norm=0.0813, loss=0.0086, mem_enc_norm=0.0163, param_norm=1815.5928
Step 2400: grad_norm=0.0854, llm_grad_norm=0.0820, loss=0.0084, mem_enc_norm=0.0151, param_norm=1815.5999
Step 2500: grad_norm=0.0796, llm_grad_norm=0.0762, loss=0.0083, mem_enc_norm=0.0138, param_norm=1815.6072
Step 2600: grad_norm=0.0719, llm_grad_norm=0.0685, loss=0.0078, mem_enc_norm=0.0137, param_norm=1815.6150
Step 2700: grad_norm=0.0729, llm_grad_norm=0.0693, loss=0.0078, mem_enc_norm=0.0141, param_norm=1815.6233
Step 2800: grad_norm=0.0710, llm_grad_norm=0.0673, loss=0.0077, mem_enc_norm=0.0143, param_norm=1815.6324
Step 2900: grad_norm=0.0697, llm_grad_norm=0.0653, loss=0.0076, mem_enc_norm=0.0166, param_norm=1815.6420
Step 3000: grad_norm=0.0658, llm_grad_norm=0.0614, loss=0.0075, mem_enc_norm=0.0161, param_norm=1815.6521
Step 3100: grad_norm=0.0651, llm_grad_norm=0.0609, loss=0.0073, mem_enc_norm=0.0152, param_norm=1815.6635
Step 3200: grad_norm=0.0657, llm_grad_norm=0.0618, loss=0.0071, mem_enc_norm=0.0145, param_norm=1815.6747
Step 3300: grad_norm=0.0652, llm_grad_norm=0.0599, loss=0.0069, mem_enc_norm=0.0178, param_norm=1815.6870
Step 3400: grad_norm=0.0582, llm_grad_norm=0.0535, loss=0.0068, mem_enc_norm=0.0153, param_norm=1815.7000
Step 3500: grad_norm=0.0622, llm_grad_norm=0.0576, loss=0.0067, mem_enc_norm=0.0158, param_norm=1815.7134
Step 3600: grad_norm=0.0597, llm_grad_norm=0.0547, loss=0.0065, mem_enc_norm=0.0169, param_norm=1815.7279
Step 3700: grad_norm=0.0591, llm_grad_norm=0.0539, loss=0.0063, mem_enc_norm=0.0172, param_norm=1815.7427
Step 3800: grad_norm=0.0569, llm_grad_norm=0.0520, loss=0.0062, mem_enc_norm=0.0163, param_norm=1815.7585
Step 3900: grad_norm=0.0573, llm_grad_norm=0.0521, loss=0.0061, mem_enc_norm=0.0169, param_norm=1815.7748
Step 4000: grad_norm=0.0513, llm_grad_norm=0.0460, loss=0.0058, mem_enc_norm=0.0163, param_norm=1815.7919
Step 4100: grad_norm=0.0543, llm_grad_norm=0.0497, loss=0.0059, mem_enc_norm=0.0147, param_norm=1815.8091
Step 4200: grad_norm=0.0561, llm_grad_norm=0.0510, loss=0.0058, mem_enc_norm=0.0167, param_norm=1815.8276
Step 4300: grad_norm=0.0566, llm_grad_norm=0.0512, loss=0.0059, mem_enc_norm=0.0177, param_norm=1815.8474
Step 4400: grad_norm=0.0527, llm_grad_norm=0.0481, loss=0.0058, mem_enc_norm=0.0154, param_norm=1815.8673
Step 4500: grad_norm=0.0536, llm_grad_norm=0.0478, loss=0.0057, mem_enc_norm=0.0177, param_norm=1815.8887
Step 4600: grad_norm=0.0537, llm_grad_norm=0.0487, loss=0.0055, mem_enc_norm=0.0165, param_norm=1815.9115
Step 4700: grad_norm=0.0553, llm_grad_norm=0.0486, loss=0.0056, mem_enc_norm=0.0199, param_norm=1815.9347
Step 4800: grad_norm=0.0517, llm_grad_norm=0.0462, loss=0.0054, mem_enc_norm=0.0167, param_norm=1815.9581
Step 4900: grad_norm=0.0591, llm_grad_norm=0.0522, loss=0.0056, mem_enc_norm=0.0203, param_norm=1815.9824
Step 5000: grad_norm=0.0549, llm_grad_norm=0.0494, loss=0.0055, mem_enc_norm=0.0172, param_norm=1816.0078
Step 5100: grad_norm=0.0501, llm_grad_norm=0.0449, loss=0.0052, mem_enc_norm=0.0165, param_norm=1816.0331
Step 5200: grad_norm=0.0504, llm_grad_norm=0.0450, loss=0.0054, mem_enc_norm=0.0165, param_norm=1816.0605
