]11;?[cmax_token_len:  64
====== Using History, Representation Type: perceptual , Integration Type: modulation ======
Perceptual Memory using rl_selector type

max_token_len: 64
Step 0: mean_reward=0.0005, mean_fm_selector=0.0573, mean_fm_uniform=0.0594, mean_entropy=5.4483, policy_loss=0.6723, value_loss=0.5289, approx_kl=-0.0000, grad_norm=25.4297
Step 10: mean_reward=0.0035, mean_fm_selector=0.0645, mean_fm_uniform=0.0697, mean_entropy=5.3863, policy_loss=-0.0490, value_loss=0.0024, approx_kl=-0.0133, grad_norm=0.8987
Step 20: mean_reward=-0.0040, mean_fm_selector=0.0470, mean_fm_uniform=0.0450, mean_entropy=5.3119, policy_loss=0.0037, value_loss=0.0006, approx_kl=0.0037, grad_norm=0.2313
Step 30: mean_reward=0.0104, mean_fm_selector=0.0473, mean_fm_uniform=0.0594, mean_entropy=5.4849, policy_loss=0.0145, value_loss=0.0021, approx_kl=0.0010, grad_norm=0.3710
Step 40: mean_reward=0.0035, mean_fm_selector=0.0484, mean_fm_uniform=0.0537, mean_entropy=5.3207, policy_loss=-0.0395, value_loss=0.0015, approx_kl=-0.0044, grad_norm=0.1856
Step 50: mean_reward=-0.0002, mean_fm_selector=0.0445, mean_fm_uniform=0.0459, mean_entropy=5.5085, policy_loss=0.0053, value_loss=0.0007, approx_kl=0.0001, grad_norm=0.1365
Step 60: mean_reward=-0.0001, mean_fm_selector=0.0467, mean_fm_uniform=0.0486, mean_entropy=5.2611, policy_loss=-0.0017, value_loss=0.0021, approx_kl=-0.0001, grad_norm=0.1744
Step 70: mean_reward=-0.0061, mean_fm_selector=0.0523, mean_fm_uniform=0.0483, mean_entropy=5.1992, policy_loss=0.0024, value_loss=0.0011, approx_kl=0.0001, grad_norm=0.0917
Step 80: mean_reward=-0.0092, mean_fm_selector=0.0588, mean_fm_uniform=0.0517, mean_entropy=5.2587, policy_loss=-0.0087, value_loss=0.0010, approx_kl=-0.0001, grad_norm=0.0660
Step 90: mean_reward=0.0031, mean_fm_selector=0.0477, mean_fm_uniform=0.0526, mean_entropy=5.4138, policy_loss=0.0010, value_loss=0.0006, approx_kl=-0.0002, grad_norm=0.0074
Step 100: mean_reward=-0.0035, mean_fm_selector=0.0514, mean_fm_uniform=0.0502, mean_entropy=5.1503, policy_loss=-0.0027, value_loss=0.0002, approx_kl=0.0252, grad_norm=0.0052
Step 110: mean_reward=-0.0039, mean_fm_selector=0.0520, mean_fm_uniform=0.0497, mean_entropy=5.4552, policy_loss=-0.0032, value_loss=0.0014, approx_kl=-0.0000, grad_norm=0.0078
Step 120: mean_reward=0.0043, mean_fm_selector=0.0691, mean_fm_uniform=0.0752, mean_entropy=5.3165, policy_loss=-0.0034, value_loss=0.0018, approx_kl=0.0000, grad_norm=0.0102
Step 130: mean_reward=-0.0004, mean_fm_selector=0.0425, mean_fm_uniform=0.0444, mean_entropy=5.1203, policy_loss=-0.0020, value_loss=0.0004, approx_kl=0.0003, grad_norm=0.0041
Step 140: mean_reward=0.0023, mean_fm_selector=0.0462, mean_fm_uniform=0.0508, mean_entropy=5.1579, policy_loss=-0.0060, value_loss=0.0012, approx_kl=0.0045, grad_norm=0.0068
Step 150: mean_reward=-0.0043, mean_fm_selector=0.0527, mean_fm_uniform=0.0499, mean_entropy=5.4458, policy_loss=0.0023, value_loss=0.0017, approx_kl=0.0002, grad_norm=0.0075
Step 160: mean_reward=-0.0004, mean_fm_selector=0.0710, mean_fm_uniform=0.0726, mean_entropy=5.2006, policy_loss=-0.0020, value_loss=0.0007, approx_kl=-0.0005, grad_norm=0.0039
Step 170: mean_reward=0.0002, mean_fm_selector=0.0455, mean_fm_uniform=0.0474, mean_entropy=5.3733, policy_loss=-0.0010, value_loss=0.0013, approx_kl=0.0055, grad_norm=0.0068
Step 180: mean_reward=0.0025, mean_fm_selector=0.0489, mean_fm_uniform=0.0529, mean_entropy=5.4937, policy_loss=-0.0062, value_loss=0.0028, approx_kl=-0.0001, grad_norm=0.0091
Step 190: mean_reward=-0.0084, mean_fm_selector=0.0585, mean_fm_uniform=0.0524, mean_entropy=5.0712, policy_loss=0.0076, value_loss=0.0026, approx_kl=0.0000, grad_norm=0.0092
Step 200: mean_reward=0.0005, mean_fm_selector=0.0539, mean_fm_uniform=0.0564, mean_entropy=5.3427, policy_loss=-0.0007, value_loss=0.0011, approx_kl=-0.0000, grad_norm=0.0060
Step 210: mean_reward=0.0046, mean_fm_selector=0.0480, mean_fm_uniform=0.0544, mean_entropy=5.4069, policy_loss=-0.0099, value_loss=0.0007, approx_kl=0.0000, grad_norm=0.0092
Step 220: mean_reward=0.0008, mean_fm_selector=0.0708, mean_fm_uniform=0.0737, mean_entropy=5.1953, policy_loss=-0.0069, value_loss=0.0004, approx_kl=0.0037, grad_norm=0.0089
Step 230: mean_reward=0.0016, mean_fm_selector=0.0564, mean_fm_uniform=0.0599, mean_entropy=5.2807, policy_loss=-0.0022, value_loss=0.0002, approx_kl=-0.0040, grad_norm=0.0025
Step 240: mean_reward=0.0024, mean_fm_selector=0.0479, mean_fm_uniform=0.0522, mean_entropy=5.3514, policy_loss=-0.0036, value_loss=0.0002, approx_kl=0.0071, grad_norm=0.0037
Step 250: mean_reward=0.0017, mean_fm_selector=0.0493, mean_fm_uniform=0.0528, mean_entropy=5.4248, policy_loss=-0.0014, value_loss=0.0020, approx_kl=-0.0000, grad_norm=0.0067
Step 260: mean_reward=0.0011, mean_fm_selector=0.0501, mean_fm_uniform=0.0529, mean_entropy=5.4042, policy_loss=0.0007, value_loss=0.0025, approx_kl=-0.0018, grad_norm=0.0108
Step 270: mean_reward=0.0035, mean_fm_selector=0.0579, mean_fm_uniform=0.0633, mean_entropy=5.2576, policy_loss=-0.0058, value_loss=0.0018, approx_kl=0.0133, grad_norm=0.0089
Step 280: mean_reward=-0.0071, mean_fm_selector=0.0582, mean_fm_uniform=0.0530, mean_entropy=5.2898, policy_loss=0.0063, value_loss=0.0010, approx_kl=0.0340, grad_norm=0.0071
Step 290: mean_reward=0.0004, mean_fm_selector=0.0543, mean_fm_uniform=0.0567, mean_entropy=5.3372, policy_loss=-0.0002, value_loss=0.0004, approx_kl=-0.0000, grad_norm=0.0031
Step 300: mean_reward=0.0008, mean_fm_selector=0.0569, mean_fm_uniform=0.0591, mean_entropy=5.4937, policy_loss=-0.0045, value_loss=0.0016, approx_kl=0.0000, grad_norm=0.0079
Step 310: mean_reward=-0.0049, mean_fm_selector=0.0622, mean_fm_uniform=0.0592, mean_entropy=5.2823, policy_loss=0.0051, value_loss=0.0022, approx_kl=0.0075, grad_norm=0.0105
Step 320: mean_reward=-0.0009, mean_fm_selector=0.0355, mean_fm_uniform=0.0367, mean_entropy=5.1764, policy_loss=0.0025, value_loss=0.0003, approx_kl=0.0075, grad_norm=0.0044
Step 330: mean_reward=-0.0022, mean_fm_selector=0.0649, mean_fm_uniform=0.0648, mean_entropy=5.2114, policy_loss=0.0005, value_loss=0.0010, approx_kl=-0.0001, grad_norm=0.0049
Step 340: mean_reward=0.0024, mean_fm_selector=0.0456, mean_fm_uniform=0.0497, mean_entropy=5.3907, policy_loss=-0.0031, value_loss=0.0007, approx_kl=0.0001, grad_norm=0.0052
Step 350: mean_reward=-0.0075, mean_fm_selector=0.0647, mean_fm_uniform=0.0588, mean_entropy=5.4130, policy_loss=0.0056, value_loss=0.0014, approx_kl=0.0716, grad_norm=0.0069
Step 360: mean_reward=-0.0086, mean_fm_selector=0.0585, mean_fm_uniform=0.0515, mean_entropy=5.5218, policy_loss=0.0088, value_loss=0.0029, approx_kl=0.0086, grad_norm=0.0100
Step 370: mean_reward=-0.0017, mean_fm_selector=0.0504, mean_fm_uniform=0.0507, mean_entropy=5.2345, policy_loss=0.0027, value_loss=0.0008, approx_kl=0.0079, grad_norm=0.0061
Step 380: mean_reward=0.0007, mean_fm_selector=0.0594, mean_fm_uniform=0.0623, mean_entropy=5.1394, policy_loss=-0.0059, value_loss=0.0009, approx_kl=0.0208, grad_norm=0.0080
Step 390: mean_reward=-0.0007, mean_fm_selector=0.0576, mean_fm_uniform=0.0587, mean_entropy=5.3214, policy_loss=-0.0022, value_loss=0.0007, approx_kl=0.0001, grad_norm=0.0054
