]11;?[cmax_token_len:  64
====== Using History, Representation Type: perceptual , Integration Type: modulation ======
Perceptual Memory using rl_selector type

max_token_len: 64
Step 0: mean_reward=0.0013, mean_fm_selector=0.0542, mean_fm_uniform=0.0580, mean_entropy=4.7099, policy_loss=0.6983, value_loss=1.2654, approx_kl=-0.0000, grad_norm=47.9782
Step 10: mean_reward=0.0032, mean_fm_selector=0.0558, mean_fm_uniform=0.0615, mean_entropy=4.6891, policy_loss=-0.0911, value_loss=0.0081, approx_kl=-0.0000, grad_norm=3.0731
Step 20: mean_reward=0.0020, mean_fm_selector=0.0425, mean_fm_uniform=0.0471, mean_entropy=4.6620, policy_loss=0.0134, value_loss=0.0010, approx_kl=-0.0000, grad_norm=0.4900
Step 30: mean_reward=0.0009, mean_fm_selector=0.0398, mean_fm_uniform=0.0432, mean_entropy=4.6970, policy_loss=0.0086, value_loss=0.0004, approx_kl=-0.0000, grad_norm=0.2519
Step 40: mean_reward=0.0004, mean_fm_selector=0.0328, mean_fm_uniform=0.0357, mean_entropy=4.6681, policy_loss=0.0115, value_loss=0.0002, approx_kl=-0.0000, grad_norm=0.1016
Step 50: mean_reward=0.0003, mean_fm_selector=0.0489, mean_fm_uniform=0.0517, mean_entropy=4.6837, policy_loss=-0.0218, value_loss=0.0010, approx_kl=-0.0000, grad_norm=0.4534
Step 60: mean_reward=-0.0015, mean_fm_selector=0.0430, mean_fm_uniform=0.0439, mean_entropy=4.6846, policy_loss=0.0004, value_loss=0.0003, approx_kl=-0.0000, grad_norm=0.0796
Step 70: mean_reward=-0.0012, mean_fm_selector=0.0363, mean_fm_uniform=0.0379, mean_entropy=4.6640, policy_loss=0.0053, value_loss=0.0004, approx_kl=-0.0000, grad_norm=0.1662
Step 80: mean_reward=-0.0003, mean_fm_selector=0.0435, mean_fm_uniform=0.0458, mean_entropy=4.6211, policy_loss=-0.0053, value_loss=0.0003, approx_kl=-0.0000, grad_norm=0.1496
Step 90: mean_reward=0.0011, mean_fm_selector=0.0492, mean_fm_uniform=0.0526, mean_entropy=4.7082, policy_loss=0.0059, value_loss=0.0001, approx_kl=-0.0000, grad_norm=0.0505
Step 100: mean_reward=0.0017, mean_fm_selector=0.0508, mean_fm_uniform=0.0550, mean_entropy=4.6655, policy_loss=-0.0037, value_loss=0.0003, approx_kl=-0.0000, grad_norm=0.0570
Step 110: mean_reward=-0.0008, mean_fm_selector=0.0397, mean_fm_uniform=0.0414, mean_entropy=4.6523, policy_loss=0.0038, value_loss=0.0002, approx_kl=-0.0000, grad_norm=0.0637
Step 120: mean_reward=-0.0020, mean_fm_selector=0.0781, mean_fm_uniform=0.0786, mean_entropy=4.6808, policy_loss=0.0096, value_loss=0.0007, approx_kl=-0.0000, grad_norm=0.1087
Step 130: mean_reward=-0.0028, mean_fm_selector=0.0297, mean_fm_uniform=0.0293, mean_entropy=4.6794, policy_loss=-0.0191, value_loss=0.0002, approx_kl=-0.0000, grad_norm=0.1012
Step 140: mean_reward=-0.0010, mean_fm_selector=0.0429, mean_fm_uniform=0.0444, mean_entropy=4.6791, policy_loss=0.0079, value_loss=0.0001, approx_kl=-0.0000, grad_norm=0.0813
Step 150: mean_reward=0.0034, mean_fm_selector=0.0272, mean_fm_uniform=0.0327, mean_entropy=4.7195, policy_loss=-0.0159, value_loss=0.0002, approx_kl=-0.0000, grad_norm=0.1204
Step 160: mean_reward=0.0029, mean_fm_selector=0.0609, mean_fm_uniform=0.0665, mean_entropy=4.6365, policy_loss=-0.0096, value_loss=0.0002, approx_kl=-0.0000, grad_norm=0.0848
Step 170: mean_reward=-0.0001, mean_fm_selector=0.0487, mean_fm_uniform=0.0516, mean_entropy=4.5567, policy_loss=-0.0107, value_loss=0.0001, approx_kl=-0.0070, grad_norm=0.0736
Step 180: mean_reward=0.0011, mean_fm_selector=0.0491, mean_fm_uniform=0.0527, mean_entropy=4.6583, policy_loss=-0.0001, value_loss=0.0001, approx_kl=-0.0000, grad_norm=0.0340
Step 190: mean_reward=0.0019, mean_fm_selector=0.0546, mean_fm_uniform=0.0593, mean_entropy=4.6425, policy_loss=0.0029, value_loss=0.0003, approx_kl=-0.0116, grad_norm=0.0795
